feature_set,feature_order,feature,n_features
C0,1,station_number,10
C0,2,hour,10
C0,3,minute,10
C0,4,halfhour,10
C0,5,weekday,10
C0,6,is_weekend,10
C0,7,month,10
C0,8,day,10
C0,9,yday,10
C0,10,week,10
C1,1,station_number,18
C1,2,hour,18
C1,3,minute,18
C1,4,halfhour,18
C1,5,weekday,18
C1,6,is_weekend,18
C1,7,month,18
C1,8,day,18
C1,9,yday,18
C1,10,week,18
C1,11,sin_halfhour,18
C1,12,cos_halfhour,18
C1,13,sin_weekday,18
C1,14,cos_weekday,18
C1,15,sin_month,18
C1,16,cos_month,18
C1,17,days_since_start,18
C1,18,weeks_since_start,18
C2,1,station_number,30
C2,2,hour,30
C2,3,minute,30
C2,4,halfhour,30
C2,5,weekday,30
C2,6,is_weekend,30
C2,7,month,30
C2,8,day,30
C2,9,yday,30
C2,10,week,30
C2,11,sin_halfhour,30
C2,12,cos_halfhour,30
C2,13,sin_weekday,30
C2,14,cos_weekday,30
C2,15,sin_month,30
C2,16,cos_month,30
C2,17,days_since_start,30
C2,18,weeks_since_start,30
C2,19,station_hour_minute_mean,30
C2,20,station_hour_minute_median,30
C2,21,station_hour_minute_sd,30
C2,22,station_hour_minute_min,30
C2,23,station_hour_minute_max,30
C2,24,station_hour_minute_n,30
C2,25,global_hour_minute_mean,30
C2,26,global_hour_minute_median,30
C2,27,global_hour_minute_sd,30
C2,28,global_hour_minute_min,30
C2,29,global_hour_minute_max,30
C2,30,global_hour_minute_n,30
C3,1,station_number,38
C3,2,hour,38
C3,3,minute,38
C3,4,halfhour,38
C3,5,weekday,38
C3,6,is_weekend,38
C3,7,month,38
C3,8,day,38
C3,9,yday,38
C3,10,week,38
C3,11,sin_halfhour,38
C3,12,cos_halfhour,38
C3,13,sin_weekday,38
C3,14,cos_weekday,38
C3,15,sin_month,38
C3,16,cos_month,38
C3,17,days_since_start,38
C3,18,weeks_since_start,38
C3,19,station_hour_minute_mean,38
C3,20,station_hour_minute_median,38
C3,21,station_hour_minute_sd,38
C3,22,station_hour_minute_min,38
C3,23,station_hour_minute_max,38
C3,24,station_hour_minute_n,38
C3,25,global_hour_minute_mean,38
C3,26,global_hour_minute_median,38
C3,27,global_hour_minute_sd,38
C3,28,global_hour_minute_min,38
C3,29,global_hour_minute_max,38
C3,30,global_hour_minute_n,38
C3,31,lat,38
C3,32,lng,38
C3,33,lat_centered,38
C3,34,lng_centered,38
C3,35,distance_to_center,38
C3,36,lat_lng_interaction,38
C3,37,lat_sq,38
C3,38,lng_sq,38
C4,1,station_number,46
C4,2,hour,46
C4,3,minute,46
C4,4,halfhour,46
C4,5,weekday,46
C4,6,is_weekend,46
C4,7,month,46
C4,8,day,46
C4,9,yday,46
C4,10,week,46
C4,11,sin_halfhour,46
C4,12,cos_halfhour,46
C4,13,sin_weekday,46
C4,14,cos_weekday,46
C4,15,sin_month,46
C4,16,cos_month,46
C4,17,days_since_start,46
C4,18,weeks_since_start,46
C4,19,station_hour_minute_mean,46
C4,20,station_hour_minute_median,46
C4,21,station_hour_minute_sd,46
