fold_id,feature_set,n_features,n_matrix_columns,valid_rmsle,valid_rmse_log,best_iteration,train_seconds
inner_1,C0,10,244,0.627888940017247,0.627888940017247,1200,19.8892130851746
inner_1,C1,18,252,0.630801579298733,0.630801579298733,1200,20.862263917923
inner_1,C2,30,264,0.63892923078744,0.63892923078744,1200,3.87590217590332
inner_1,C3,38,272,0.628586004263892,0.628587189215929,1200,15.895318031311
inner_1,C4,46,513,0.62936312342061,0.62936312342061,1200,14.7953729629517
inner_1,C5,76,14402,0.626217709160102,0.626217709160102,1200,12.708132982254
inner_1,COMPACT_C2_23,23,257,0.637267418055335,0.637267418055335,1200,3.4248640537262
inner_2,C0,10,244,0.768287891913855,0.768287891913855,1200,8.51786112785339
inner_2,C1,18,252,0.733612021589759,0.733612021589759,1200,11.9306540489197
inner_2,C2,30,264,0.689303117717499,0.689303117717499,1200,3.84530687332153
inner_2,C3,38,272,0.714780445016783,0.714780445016783,1200,3.97998905181885
inner_2,C4,46,513,0.701983362841714,0.701983362841714,1200,4.44118094444275
inner_2,C5,76,14637,0.731612424172766,0.731612424172766,1200,29.4092080593109
inner_2,COMPACT_C2_23,23,257,0.72282946523959,0.72282946523959,1200,4.13588094711304
inner_3,C0,10,244,0.601412979488992,0.601412979488992,1200,32.8653590679169
inner_3,C1,18,252,0.585682394607736,0.585682394607736,1200,42.9203882217407
inner_3,C2,30,264,0.53139801805812,0.53139801805812,1200,54.4335799217224
inner_3,C3,38,272,0.521574232687036,0.521574232687036,1200,29.4868721961975
inner_3,C4,46,513,0.527332235877254,0.527332235877254,1200,28.9146091938019
inner_3,C5,76,14637,0.570801199173834,0.570801199173834,1200,17.1187188625336
inner_3,COMPACT_C2_23,23,257,0.546079982930368,0.546079982930368,1200,26.3864190578461
