config_id,config_source,center_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,lambda,alpha,signature,n_folds,mean_rmsle,sd_rmsle,worst_fold_rmsle,best_fold_rmsle,median_best_nrounds,mean_elapsed_seconds,rank
reference_config,previous_submission_reference,,0.03591504,6,3.99688001,0.87071714,0.6513113,0.01718908,0.31737196,0.00620258,0.03591504|6|3.99688001|0.87071714|0.65131130|0.01718908|0.31737196|0.00620258,3,0.627851951181809,0.0866635778145632,0.71524573900658,0.541937524100726,5000,19.1458950837453,1
local_007,local_refinement,reference_config,0.0493090869396267,6,5.85508228170317,0.846080423371553,0.6,0.00968556940082627,0.674772367227067,0.0037512103653213,0.04930909|6|5.85508228|0.84608042|0.60000000|0.00968557|0.67477237|0.00375121,3,0.628212411254423,0.0839406191422954,0.712531426758149,0.54465537627745,5000,13.9258000055949,2
local_014,local_refinement,random_027,0.0764752704120429,6,3.66193824181156,0.986596576450393,0.634141916455701,0.00944027277218028,0.474261469513313,0,0.07647527|6|3.66193824|0.98659658|0.63414192|0.00944027|0.47426147|0.00000000,3,0.628576874039981,0.0854076925008582,0.712699749186366,0.541939878745651,5000,7.39138968785604,3
local_006,local_refinement,random_027,0.0627897943314154,6,3.65610095244902,1,0.684012093348429,0.0209148332827923,1.13354509762271,0.000150171760365001,0.06278979|6|3.65610095|1.00000000|0.68401209|0.02091483|1.13354510|0.00015017,3,0.629396300426163,0.0860589178843359,0.714274760301709,0.542203605434952,5000,13.9122556050619,4
local_020,local_refinement,random_027,0.0795805172169189,7,4.70373278161221,0.916872896347195,0.614492302015424,0.00814359554157444,0.739479328514542,0,0.07958052|7|4.70373278|0.91687290|0.61449230|0.00814360|0.73947933|0.00000000,3,0.629548186843902,0.0937893545440878,0.723769183048649,0.536196517352436,5000,6.6484223206838,5
local_018,local_refinement,reference_config,0.0289546096340747,7,7.90746629299255,0.800387618357002,0.6,0.0108069298166322,0.321084106677951,0.00218085216124814,0.02895461|7|7.90746629|0.80038762|0.60000000|0.01080693|0.32108411|0.00218085,3,0.629578951547019,0.0919983934989257,0.723932710541784,0.540132336670154,5000,15.6537606716156,6
random_004,random_search,,0.0735862272781206,6,1.09504659521962,0.791118388436735,0.903383815009147,0,0.199610775479002,3.24709672462535,0.07358623|6|1.09504660|0.79111839|0.90338382|0.00000000|0.19961078|3.24709672,3,0.62972694763085,0.0921407814191717,0.723950914267199,0.539821195093083,5000,10.3007735411326,7
random_027,random_search,,0.0587674586932588,7,7.09261912210044,0.914116668514907,0.667224324215204,0.0089420486785707,0.664434377799752,0,0.05876746|7|7.09261912|0.91411667|0.66722432|0.00894205|0.66443438|0.00000000,3,0.630088201644544,0.0907068055976491,0.722670613615789,0.541381228226047,5000,12.6251792907715,8
local_009,local_refinement,random_027,0.0733114846549301,8,6.04902097280625,0.832181085366756,0.692373051634058,0.00326540265697943,0.398190560706497,0.102737319820376,0.07331148|8|6.04902097|0.83218109|0.69237305|0.00326540|0.39819056|0.10273732,3,0.630115515358679,0.0973528443231952,0.733073032721327,0.539554938504369,5000,11.243488629659,9
local_012,local_refinement,reference_config,0.0422099846390407,7,6.32610815008437,0.94803036417967,0.741840214798051,0.0171676026831164,0.141054863161425,0.0033382159330789,0.04220998|7|6.32610815|0.94803036|0.74184021|0.01716760|0.14105486|0.00333822,3,0.630286782425279,0.0966695316884146,0.730994613683743,0.53823816810101,5000,9.26873191197713,10
local_001,local_refinement,reference_config,0.0225119604272064,6,5.80560066248863,0.81093326321958,0.681363600076932,0.0128123162225128,0.618008768743488,0.0142832251030675,0.02251196|6|5.80560066|0.81093326|0.68136360|0.01281232|0.61800877|0.01428323,3,0.63057070727478,0.0862239176596559,0.718183376158647,0.545806111579913,5000,22.4963972568512,11
local_003,local_refinement,random_027,0.0788765140582978,8,5.90570941453752,0.98890665108338,0.6,0.0124526976125845,1.89215594348141,0.0127749826252159,0.07887651|8|5.90570941|0.98890665|0.60000000|0.01245270|1.89215594|0.01277498,3,0.631494087304355,0.0989216667303017,0.734528761873157,0.537275602189051,5000,6.37291709582011,12
local_010,local_refinement,reference_config,0.0499299726682446,7,4.38663051834403,0.918041209216847,0.72280078488757,0.00587159528318717,0.303108498188566,0.0130391641327231,0.04992997|7|4.38663052|0.91804121|0.72280078|0.00587160|0.30310850|0.01303916,3,0.631612123922464,0.0958454467713255,0.731350965903181,0.540203899181225,5000,7.99248353640239,13
random_011,random_search,,0.059714557486268,6,6.06439376387123,0.981789530999959,0.79316095886752,0.00221924396944625,14.8763910922533,0.0361016706178508,0.05971456|6|6.06439376|0.98178953|0.79316096|0.00221924|14.87639109|0.03610167,3,0.631836845280201,0.0902355240890405,0.722841291886753,0.542390420641593,5000,14.2855909665426,14
random_056,random_search,,0.0427418081264625,7,1.25999567914432,0.926032598037273,0.720457009784877,0.0290761458825108,0.515325076869401,0.000722299027143444,0.04274181|7|1.25999568|0.92603260|0.72045701|0.02907615|0.51532508|0.00072230,3,0.631862539115218,0.096259780233415,0.730601812086147,0.538290388329494,5000,13.8586309750875,15
baseline,baseline,,0.03,6,10,0.85,0.85,0,1,0,0.03000000|6|10.00000000|0.85000000|0.85000000|0.00000000|1.00000000|0.00000000,3,0.632158460106643,0.0893666642423691,0.72282946523959,0.544155905861571,5000,18.2256536483765,16
random_053,random_search,,0.0715014940236985,6,35.9999635359953,0.628195591084659,0.783914077281952,0,4.44712747345938,0,0.07150149|6|35.99996354|0.62819559|0.78391408|0.00000000|4.44712747|0.00000000,3,0.632196032204635,0.0914659280804723,0.724815527810407,0.541929057749906,5000,11.8464697202047,17
local_005,local_refinement,random_004,0.0548720234822726,6,1,0.754817306064069,0.838180578360334,0.00274692102788867,0.398127913848003,2.30561011177835,0.05487202|6|1.00000000|0.75481731|0.83818058|0.00274692|0.39812791|2.30561011,3,0.632267245150359,0.0913499689022055,0.725197573570645,0.542584233201032,5000,18.8509213129679,18
local_019,local_refinement,random_004,0.083468830813018,6,1,0.740999705484137,0.835270911036059,0,0.216143818518303,3.04024681525511,0.08346883|6|1.00000000|0.74099971|0.83527091|0.00000000|0.21614382|3.04024682,3,0.632334924116156,0.0924477168664949,0.724433447101968,0.539541926126244,5000,9.4961036046346,19
local_015,local_refinement,reference_config,0.0319242150312245,7,4.11404896530956,0.902641407439172,0.697183486264023,0.0124977117340595,0.0967215655582092,0,0.03192422|7|4.11404897|0.90264141|0.69718349|0.01249771|0.09672157|0.00000000,3,0.632416677112244,0.0949525256514018,0.730724872879465,0.541219671249695,5000,14.1579957008362,20
random_015,random_search,,0.030746342529607,6,1.03936704134297,0.673539809603244,0.937091727554798,0.80990088718213,0.219367556726256,0.0157455444115254,0.03074634|6|1.03936704|0.67353981|0.93709173|0.80990089|0.21936756|0.01574554,3,0.632496870779028,0.0906410856559954,0.724471471827692,0.543250918168069,5000,25.2446830272675,21
local_004,local_refinement,reference_config,0.0227832294486619,7,2.36091895756981,0.788389800201788,0.727464122980657,0.0112167976386891,0.746490756009988,0,0.02278323|7|2.36091896|0.78838980|0.72746412|0.01121680|0.74649076|0.00000000,3,0.63293278078087,0.0938724234754826,0.730725861288025,0.543546526489636,5000,21.843284924825,22
local_017,local_refinement,random_027,0.0729363109494017,7,6.32097704387204,0.989093146007508,0.696693727327511,0.00398825924414808,0.412464084927523,0.903344999314873,0.07293631|7|6.32097704|0.98909315|0.69669373|0.00398826|0.41246408|0.90334500,3,0.633871255415896,0.0962244758913353,0.732456574091012,0.540195592948125,5000,10.1723442872365,23
local_011,local_refinement,random_004,0.0924401420022295,6,1.47055971518527,0.73817216004245,0.81837516524829,0.00296144366429696,0.265682278182462,0,0.09244014|6|1.47055972|0.73817216|0.81837517|0.00296144|0.26568228|0.00000000,3,0.634361264012472,0.0861559107547058,0.724008403784755,0.552182859018149,5000,6.34704462687175,24
local_008,local_refinement,random_004,0.088519328635039,7,1.50551344073767,0.711934115644544,0.847380450554192,0.180348537035555,0.39469408669667,3.82344611060793,0.08851933|7|1.50551344|0.71193412|0.84738045|0.18034854|0.39469409|3.82344611,3,0.635156307596268,0.0958714267785869,0.733380932091904,0.541825528283429,5000,10.2997536659241,25
local_013,local_refinement,random_004,0.0457907856450875,7,1.15677965751147,0.719139098422602,0.860126170376316,0.00312663853828611,0.0747491652798138,2.20992760083611,0.04579079|7|1.15677966|0.71913910|0.86012617|0.00312664|0.07474917|2.20992760,3,0.635397285820083,0.0947434348897194,0.735186078708798,0.546670350634841,5000,7.75848356882731,26
local_016,local_refinement,random_004,0.109868400884107,7,1,0.834695297759026,0.951891641458496,0.0666198856873879,0.341592705395391,3.99389027553149,0.10986840|7|1.00000000|0.83469530|0.95189164|0.06661989|0.34159271|3.99389028,3,0.636287630148397,0.0945245201800357,0.734590386442072,0.546059360760063,5000,8.56656742095947,27
local_002,local_refinement,random_004,0.0733049937187993,7,1.23620241892819,0.775811118632555,0.993300879606977,0.0173746563798348,0.0624696856127421,3.01078631536409,0.07330499|7|1.23620242|0.77581112|0.99330088|0.01737466|0.06246969|3.01078632,3,0.636441575748754,0.0939466084041859,0.734105483854529,0.5467160278115,5000,5.99322597185771,28
