config_id,config_source,center_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,lambda,alpha,signature,n_folds,mean_rmsle,sd_rmsle,worst_fold_rmsle,best_fold_rmsle,median_best_nrounds,mean_elapsed_seconds,rank
reference_config,previous_submission_reference,,0.03591504,6,3.99688001,0.87071714,0.6513113,0.01718908,0.31737196,0.00620258,0.03591504|6|3.99688001|0.87071714|0.65131130|0.01718908|0.31737196|0.00620258,2,0.628591631553653,0.122547413995265,0.71524573900658,0.541937524100726,5000,17.6911211013794,1
random_004,random_search,,0.0735862272781206,6,1.09504659521962,0.791118388436735,0.903383815009147,0,0.199610775479002,3.24709672462535,0.07358623|6|1.09504660|0.79111839|0.90338382|0.00000000|0.19961078|3.24709672,2,0.631886054680141,0.130199373045992,0.723950914267199,0.539821195093083,5000,9.59677886962891,2
random_027,random_search,,0.0587674586932588,7,7.09261912210044,0.914116668514907,0.667224324215204,0.0089420486785707,0.664434377799752,0,0.05876746|7|7.09261912|0.91411667|0.66722432|0.00894205|0.66443438|0.00000000,2,0.632025920920919,0.128190953766228,0.722670613615789,0.541381228226047,5000,15.8317824602127,3
random_011,random_search,,0.059714557486268,6,6.06439376387123,0.981789530999959,0.79316095886752,0.00221924396944625,14.8763910922533,0.0361016706178508,0.05971456|6|6.06439376|0.98178953|0.79316096|0.00221924|14.87639109|0.03610167,2,0.632615856264173,0.127598034728473,0.722841291886753,0.542390420641593,5000,15.3315124511719,4
random_053,random_search,,0.0715014940236985,6,35.9999635359953,0.628195591084659,0.783914077281952,0,4.44712747345938,0,0.07150149|6|35.99996354|0.62819559|0.78391408|0.00000000|4.44712747|0.00000000,2,0.633372292780156,0.12932026316705,0.724815527810407,0.541929057749906,5000,12.7776641845703,5
random_015,random_search,,0.030746342529607,6,1.03936704134297,0.673539809603244,0.937091727554798,0.80990088718213,0.219367556726256,0.0157455444115254,0.03074634|6|1.03936704|0.67353981|0.93709173|0.80990089|0.21936756|0.01574554,2,0.63386119499788,0.1281422823831,0.724471471827692,0.543250918168069,5000,26.2796230316162,6
random_056,random_search,,0.0427418081264625,7,1.25999567914432,0.926032598037273,0.720457009784877,0.0290761458825108,0.515325076869401,0.000722299027143444,0.04274181|7|1.25999568|0.92603260|0.72045701|0.02907615|0.51532508|0.00072230,2,0.63444610020782,0.135984711837969,0.730601812086147,0.538290388329494,5000,17.3896169662476,7
random_009,random_search,,0.0262851664654907,8,4.66761682058584,0.915278333611786,0.641145857702941,0.0200119732586479,0.807547018262725,0,0.02628517|8|4.66761682|0.91527833|0.64114586|0.02001197|0.80754702|0.00000000,2,0.634731496071136,0.138984358479622,0.733008278430939,0.536454713711333,5000,23.7813160419464,8
random_038,random_search,,0.0218354219297348,7,37.9802414554101,0.867508606985211,0.767566358763725,0,0.395613680625958,0.0376148244660515,0.02183542|7|37.98024146|0.86750861|0.76756636|0.00000000|0.39561368|0.03761482,2,0.636781430954419,0.134583094567844,0.731946049756411,0.541616812152426,5000,25.6536015272141,9
random_016,random_search,,0.0264128300577345,8,22.7861425676303,0.799010906834155,0.755163611937314,0,0.241903741491164,0,0.02641283|8|22.78614257|0.79901091|0.75516361|0.00000000|0.24190374|0.00000000,2,0.637288523326504,0.143007390930491,0.73841001921325,0.536167027439758,5000,24.2785085439682,10
random_017,random_search,,0.0247163320944093,7,2.23477666979153,0.8009198253043,0.741561828739941,0,3.19688553106218,0.07238966551649,0.02471633|7|2.23477667|0.80091983|0.74156183|0.00000000|3.19688553|0.07238967,2,0.637309129660952,0.134061264564859,0.732104758929207,0.542513500392696,5000,28.6334564685822,11
random_033,random_search,,0.0152864548841765,7,6.14728638237536,0.75583484461531,0.785866376757622,0.0601000363683929,4.79255330551645,0,0.01528645|7|6.14728638|0.75583484|0.78586638|0.06010004|4.79255331|0.00000000,2,0.637399992416504,0.134507406208838,0.732511091466586,0.542288893366421,5000,42.676987528801,12
random_045,random_search,,0.133879019527538,7,5.84138498625364,0.611197028774768,0.81898378720507,0,3.08153268533673,0,0.13387902|7|5.84138499|0.61119703|0.81898379|0.00000000|3.08153269|0.00000000,2,0.637671579485853,0.132767642718781,0.731552479974456,0.54379067899725,5000,6.81353557109833,13
